Department,Department Name,Division,Gender,Base Salary,2019 Overtime Pay,Grade
BOA,Board of Appeals Department,Board of Appeals Division,F,78902,0,18
BOA,Board of Appeals Department,Board of Appeals Division,F,58481.91,0,16
BOA,Board of Appeals Department,Executive Director,F,144751,0,M3
BOE,Board of Elections,Director,F,183654.18,0,M1
BOE,Board of Elections,Polling Place Management,F,62488,0,13
BOE,Board of Elections,Absentee Voting,F,81285.08,0,21
BOE,Board of Elections,Registration Services,F,90848,0,21
BOE,Board of Elections,Polling Place Management,M,75538.95,0,21
BOE,Board of Elections,Election Judge Recruitment,F,90848,0,21
BOE,Board of Elections,Election Judge Recruitment,F,78902,0,18
BOE,Board of Elections,Election Judge Recruitment,F,78902,0,18
BOE,Board of Elections,Information Technology,F,115627.88,0,28
BOE,Board of Elections,Election Operations,F,94547.2,0,23
BOE,Board of Elections,Election Judge Recruitment,M,90848,395.99,21
BOE,Board of Elections,Polling Place Management,F,70779.09,535.97,21
BOE,Board of Elections,Registration Services,F,61734.94,0,16
BOE,Board of Elections,Registration Services,M,59654.55,357.63,16
BOE,Board of Elections,Absentee Voting,F,67077.33,0,16
BOE,Board of Elections,Registration Services,F,61734.94,0,16
BOE,Board of Elections,Polling Place Management,M,71852,52.2,16
BOE,Board of Elections,Polling Place Management,M,59660,0,12
BOE,Board of Elections,Absentee Voting,F,66328.14,0,16
BOE,Board of Elections,Information Technology,M,86091.35,0,23
BOE,Board of Elections,Registration Services,F,61734.94,0,16
BOE,Board of Elections,Registration Services,F,37506,0,16
BOE,Board of Elections,Voter Services,F,37506,49.6,16
BOE,Board of Elections,Director's Office,F,144746.29,0,M3
BOE,Board of Elections,Information Technology,F,81006.11,0,21
BOE,Board of Elections,Registration Services,F,50534.89,0,16
BOE,Board of Elections,Information Technology,F,73918.05,938.42,19
BOE,Board of Elections,Voter Services,F,90417.59,0,23
BOE,Board of Elections,Polling Place Management,M,85194.99,0,21
BOE,Board of Elections,Director's Office,F,76390.98,0,22
CAT,County Attorney's Office,Administration,F,90596.75,0,23
CAT,County Attorney's Office,Support Services,F,98208.99,0,23
CAT,County Attorney's Office,Insurance Defense Litigation,F,150527,0,32
CAT,County Attorney's Office,Insurance Defense Litigation,F,150527,0,32
CAT,County Attorney's Office,Health and Human Services,F,147215,0,32
CAT,County Attorney's Office,Health and Human Services,F,150527,0,32
CAT,County Attorney's Office,"Zoning, Land Use and Economic Development",M,150527,0,32
CAT,County Attorney's Office,County Attorney,M,210143,0,0
CAT,County Attorney's Office,County Attorney's Office,F,144749.99,0,M3
CAT,County Attorney's Office,Human Resources and Appeals,F,167345,0,M2
CAT,County Attorney's Office,Government Operations,M,167345,0,M2
CAT,County Attorney's Office,Insurance Defense Litigation,F,163663,0,M2
CAT,County Attorney's Office,Human Resources and Appeals,M,132807.1,0,32
CAT,County Attorney's Office,Finance and Procurement,F,136658.32,0,32
CAT,County Attorney's Office,Finance and Procurement,F,150527,0,32
CAT,County Attorney's Office,Government Operations,F,144203.9,0,32
CAT,County Attorney's Office,Administration,M,187233,0,M1
CAT,County Attorney's Office,Support Services,F,66395.05,0,16
CAT,County Attorney's Office,Support Services,F,71852,0,16
CAT,County Attorney's Office,Human Resources and Appeals,F,120898.76,0,32
CAT,County Attorney's Office,Finance and Procurement,F,99852,0,23
CAT,County Attorney's Office,Insurance Defense Litigation,M,147215,0,32
CAT,County Attorney's Office,Government Operations,F,119003.36,0,32
CAT,County Attorney's Office,Health and Human Services,F,88427.5,0,23
CAT,County Attorney's Office,Finance and Procurement,F,90848,0,21
CAT,County Attorney's Office,Finance and Procurement,F,71852,0,16
CAT,County Attorney's Office,Administration,F,44193.16,0,10
CAT,County Attorney's Office,Insurance Defense Litigation,M,150527,0,32
CAT,County Attorney's Office,"Zoning, Land Use and Economic Development",M,115107.17,0,32
CAT,County Attorney's Office,"Zoning, Land Use and Economic Development",M,167345,0,M2
CAT,County Attorney's Office,Insurance Defense Litigation,F,135995.45,0,32
CAT,County Attorney's Office,Support Services,F,71852,3825.18,16
CAT,County Attorney's Office,Human Resources and Appeals,F,150527,0,32
CAT,County Attorney's Office,Insurance Defense Litigation,F,164111.25,0,M2
CAT,County Attorney's Office,Finance and Procurement,F,71852,0,16
CAT,County Attorney's Office,"Zoning, Land Use and Economic Development",F,150527,0,32
CAT,County Attorney's Office,Support Services,F,62488,0,13
CAT,County Attorney's Office,Health and Human Services,M,162107.15,0,M2
CAT,County Attorney's Office,Insurance Defense Litigation,F,150527,0,32
CAT,County Attorney's Office,"Zoning, Land Use and Economic Development",M,150527,0,32
CAT,County Attorney's Office,Finance and Procurement,F,55912.4,0,16
